id,name,status,tradition,period,year_start,year_end,country,region,city,address_public,lat,lon,precision,source_level,source_url,local_source,notes,next_search
hist-tiflis-russian-baptist-community,"Тифлисская русская баптистская община",historical,vsehb,"1867-1884",1867,,"Российская империя / Грузия","Тифлисская губерния","Тифлис","",41.6938,44.8015,city,B,"https://cyberleninka.ru/article/n/rossiyskie-baptisty-i-evangelskie-hristiane-k-voprosu-o-proishozhdenii-i-edinstve-denominatsiy","potapova-russian-baptists-evangelical-christians-origin-unity-2014.pdf","Первая русская баптистская линия в конфессиональном смысле; адрес общины не фиксируем без первички.","первичные адреса/дом Воронина/Каллистов/Валькевич"
hist-water-molokans-prishib,"Водные молокане / Пришибский миссионерский центр",historical,unknown,"1840-1867",1848,1867,"Российская империя","Астраханская губерния","Пришиб","",46.48,48.12,city,C,"http://greenpasturespublication.com/index.php?Itemid=221&item_id=251&option=com_zoo&task=item","","Предбаптистская среда: Северов, Танасов, Ситников; не называть баптистской церковью без первички.","архивы Шемахинского/Ленкоранского уездов; Северов Танасов Ситников"
hist-karlovka-lyubomirka-stunda,"Карловка / Любомирка — южная штунда",historical,unknown,"1869-1871",1869,1871,"Российская империя / Украина","Херсонская губерния","Карловка / Любомирка","",47.0,32.0,region,B,"https://www.thebhhs.org/wp-content/uploads/2025/03/Ukraine.pdf","","Региональная точка; нужна точная локализация селений и сверка с Missionary Magazine.","точные координаты Карловки Любомирки; OCR Missionary Magazine"
hist-alt-danzig,"Alt Danzig / Старый Данциг",historical,mennonite_brethren,"1869-1870",1869,1870,"Российская империя / Украина","Херсонская губерния","Старый Данциг","",48.51,32.26,city,B,"https://www.thebhhs.org/wp-content/uploads/2025/03/Ukraine.pdf","","Немецко-баптистский/меннонитский узел южной линии; координаты приблизительные по району Кропивницкого.","точная география Alt Danzig; письма Oncken/Pritzkau"
hist-novo-vasilyevka-1884,"Ново-Васильевка — съезд русских баптистов",historical,vsehb,"1884",1884,1884,"Российская империя / Украина","Таврическая губерния","Ново-Васильевка","",46.84,35.75,city,B,"https://www.thebhhs.org/wp-content/uploads/2025/03/Ukraine.pdf","","Организационный съезд 30 апреля — 1 мая 1884; координаты требуют сверки исторического села.","протокол съезда; точная локализация"
hist-petersburg-pashkov-1884,"Петербургское совещание Пашкова и Корфа",historical,evangelical_christians,"1884",1884,1884,"Российская империя","Санкт-Петербург","Санкт-Петербург","",59.9343,30.3351,city,B,"https://archiveshub.jisc.ac.uk/search/archives/db009a6c-eda8-3e95-a178-d0d01cd7ebd5","","Совещание 1–6 апреля 1884; не смешивать с Ново-Васильевкой.","адрес собрания; полицейские документы"
hist-house-of-gospel-spb,"Дом Евангелия",closed,evangelical_christians,"1911-1930",1911,1930,"Российская империя / СССР","Санкт-Петербург / Ленинград","Санкт-Петербург","24-я линия В.О., 3–7 литера А",59.9369,30.2628,address,B,"https://mr-7.ru/articles/2025/02/13/vo-slavu-bozhiu-my-vosstanavlivaem-dom-evangeliia","","Открыт 25 декабря 1911; закрыт 5 февраля 1930; здание использовалось заводом Электроаппарат.","акт закрытия 1930; исторические фото с правами"
hist-moscow-vsehb-1944,"Москва — создание ВСЕХиБ",historical,vsehb,"1944",1944,1944,"СССР","Москва","Москва","",55.7558,37.6173,city,A,"https://mbchurch.ru/publications/brotherly_journal/150/","","Всесоюзное совещание ЕХ и баптистов 26–29 октября 1944.","точный адрес совещания"
hist-moscow-vsehb-1963,"Москва — съезд ВСЕХБ и Устав",historical,vsehb,"1963",1963,1963,"СССР","Москва","Москва","",55.7558,37.6173,city,A,"https://mbchurch.ru/publications/brotherly_journal/2317/","brotherly-vestnik-1963-06-mbchurch.txt","Съезд 15–17 октября 1963; 210 делегатов с решающим голосом, всего 450 участников.","адрес съезда; реакция Оргкомитета/СЦ"
hist-moscow-initiative-1966,"Майская делегация к ЦК КПСС",historical,sc_ehb,"1966",1966,1966,"СССР","Москва","Москва","",55.7558,37.6173,city,B,"https://www.invictory.org/articles/history/8803-strana-kotoroj-ne-stalo-o-protestah-baptistov-v-1966-godu","","Делегация верующих 16–17 мая 1966; аресты, Лефортово; нужны первичные документы.","заявления делегации; протоколы задержаний; списки городов"
hist-kerch-ivan-moiseev,"Керчь — Иван Моисеев",historical,sc_ehb,"1972",1972,1972,"СССР / Украина","Крым","Керчь","",45.3562,36.4674,city,A/C,"https://propovednik.com/media/mp3/Литература/Бюллетени совета родственников и узников 1970-1987/1971-1977 Синька/009-1972.pdf","bulletin-council-relatives-009-1972.pdf","Кейс памяти СЦ ЕХБ и военного вопроса; бюллетень времени события, нужна архивная сверка.","военная прокуратура; свидетельство о смерти; акт экспертизы"
